,train,val,test
0,normal_060,normal_006,normal_069
1,normal_083,normal_044,normal_003
2,normal_076,test_054,test_019
3,normal_141,test_041,normal_097
4,normal_158,normal_050,normal_004
5,normal_142,normal_136,normal_046
6,normal_067,test_045,normal_020
7,normal_146,normal_148,normal_102
8,normal_028,test_109,normal_135
9,normal_075,normal_015,normal_027
10,normal_096,normal_147,normal_127
11,normal_057,test_130,normal_092
12,normal_111,normal_098,normal_024
13,normal_119,normal_032,normal_033
14,normal_154,normal_151,normal_106
15,normal_035,normal_014,normal_034
16,normal_145,test_088,normal_103
17,normal_120,normal_116,normal_091
18,normal_094,normal_159,normal_077
19,normal_131,test_096,normal_149
20,normal_144,test_057,normal_013
21,normal_023,test_053,normal_005
22,normal_109,normal_063,normal_001
23,normal_066,test_056,test_022
24,normal_049,tumor_079,tumor_029
25,normal_025,test_040,tumor_025
26,normal_002,tumor_022,tumor_037
27,normal_048,tumor_106,tumor_093
28,normal_073,test_021,tumor_064
29,normal_070,tumor_085,tumor_023
30,normal_017,test_068,test_029
31,normal_045,tumor_026,test_102
32,normal_115,tumor_011,tumor_061
33,normal_019,test_113,tumor_006
34,normal_041,tumor_091,tumor_020
35,normal_037,tumor_010,tumor_089
36,normal_054,tumor_082,tumor_108
37,normal_157,tumor_040,tumor_105
38,normal_040,tumor_094,tumor_069
39,normal_118,tumor_002,tumor_019
40,normal_062,,
41,normal_036,,
42,normal_043,,
43,normal_053,,
44,normal_123,,
45,normal_078,,
46,normal_012,,
47,normal_128,,
48,normal_122,,
49,normal_051,,
50,normal_087,,
51,normal_124,,
52,normal_090,,
53,normal_047,,
54,normal_099,,
55,normal_130,,
56,normal_140,,
57,normal_042,,
58,normal_026,,
59,normal_095,,
60,normal_071,,
61,normal_100,,
62,normal_082,,
63,normal_155,,
64,normal_133,,
65,test_024,,
66,test_106,,
67,test_012,,
68,test_023,,
69,test_120,,
70,test_125,,
71,test_115,,
72,test_101,,
73,normal_150,,
74,test_020,,
75,test_077,,
76,test_107,,
77,test_063,,
78,test_018,,
79,normal_153,,
80,test_081,,
81,test_080,,
82,test_015,,
83,test_078,,
84,test_055,,
85,normal_016,,
86,test_085,,
87,test_059,,
88,test_103,,
89,test_050,,
90,test_129,,
91,normal_156,,
92,test_100,,
93,test_060,,
94,normal_117,,
95,test_093,,
96,test_095,,
97,test_112,,
98,normal_132,,
99,test_111,,
100,test_032,,
101,test_017,,
102,test_083,,
103,test_128,,
104,test_039,,
105,normal_021,,
106,test_091,,
107,test_035,,
108,test_072,,
109,test_014,,
110,test_044,,
111,test_127,,
112,test_123,,
113,normal_039,,
114,test_042,,
115,test_124,,
116,test_003,,
117,test_007,,
118,test_126,,
119,test_118,,
120,test_036,,
121,test_025,,
122,test_070,,
123,test_005,,
124,test_006,,
125,test_037,,
126,test_034,,
127,normal_081,,
128,test_086,,
129,test_047,,
130,test_009,,
131,test_089,,
132,test_062,,
133,test_028,,
134,test_058,,
135,normal_093,,
136,test_119,,
137,test_098,,
138,test_076,,
139,test_031,,
140,test_067,,
141,normal_074,,
142,test_043,,
143,test_087,,
144,tumor_100,,
145,tumor_077,,
146,tumor_097,,
147,tumor_017,,
148,tumor_070,,
149,tumor_068,,
150,tumor_056,,
151,tumor_050,,
152,tumor_101,,
153,tumor_073,,
154,tumor_098,,
155,tumor_048,,
156,tumor_047,,
157,tumor_096,,
158,tumor_027,,
159,tumor_102,,
160,tumor_038,,
161,tumor_004,,
162,tumor_062,,
163,tumor_065,,
164,tumor_092,,
165,tumor_033,,
166,tumor_034,,
167,tumor_078,,
168,tumor_030,,
169,tumor_083,,
170,tumor_007,,
171,tumor_003,,
172,tumor_059,,
173,tumor_086,,
174,tumor_075,,
175,tumor_014,,
176,tumor_066,,
177,tumor_081,,
178,tumor_080,,
179,tumor_103,,
180,tumor_043,,
181,tumor_090,,
182,tumor_015,,
183,tumor_054,,
184,tumor_067,,
185,tumor_052,,
186,tumor_013,,
187,tumor_039,,
188,tumor_110,,
189,tumor_084,,
190,tumor_099,,
191,tumor_072,,
192,tumor_031,,
193,tumor_104,,
194,tumor_074,,
195,tumor_021,,
196,tumor_053,,
197,tumor_063,,
198,tumor_109,,
199,tumor_087,,
200,tumor_042,,
201,tumor_111,,
202,tumor_016,,
203,tumor_044,,
204,tumor_071,,
205,tumor_095,,
206,tumor_035,,
207,tumor_009,,
208,tumor_055,,
209,tumor_045,,
210,tumor_058,,
211,tumor_001,,
212,tumor_012,,
213,tumor_036,,
214,tumor_049,,
215,tumor_057,,
216,tumor_028,,
217,tumor_060,,
218,tumor_005,,
219,tumor_008,,
220,tumor_018,,
221,tumor_041,,
222,tumor_046,,
223,tumor_076,,
224,tumor_032,,
225,tumor_088,,
226,tumor_024,,
227,tumor_051,,
228,tumor_107,,
229,test_094,,
230,test_052,,
231,test_046,,
232,test_061,,
233,test_016,,
234,test_122,,
235,test_092,,
236,test_013,,
237,test_033,,
238,test_004,,
239,test_090,,
